Code	Font	Country	Description
AFN	؋	Afghanistan	Afghani
ALL	Lek	Albania	Lek
ANG	ƒ	Netherlands Antilles	Guilder
ARS	$	Argentina	Peso
AUD	$	Australia	Dollar
AWG	ƒ	Aruba	Guilder
AZN	ман	Azerbaijan	New Manat
BAM	KM	Bosnia and Herzegovina	Convertible Marka
BBD	$	Barbados	Dollar
BGN	лв	Bulgaria	Lev
BMD	$	Bermuda	Dollar
BND	$	Brunei	Darussalam Dollar
BOB	$b	Bolivia	Bolíviano
BWP	P	Botswana	Pula
BRL	R$	Brazil	Real
BSD	$	Bahamas	Dollar
BYN	Br	Belarus	Ruble
BZD	BZ$	Belize	Dollar
CAD	$	Canada	Dollar
CLP	$	Chile	Peso
CNY	¥	China	Yuan Renminbi
CRC	₡	Costa Rica	Colon
CUP	₱	Cuba	Peso
EGP	£	Egypt	Pound
EUR	€	Eurozone	Euro
FKP	£	Falkland Islands	Pound
GBP	£	United Kingdom	Pound
ILS	₪	Israel	Shekel
IRR	﷼	Iran	Rial
JPY	¥	Japan	Yen
KGS	лв	Kyrgyzstan	Som
KHR	៛	Cambodia	Riel
KPW	₩	North Korea	Won
KRW	₩	South Korea	Won
LKR	₨	Sri Lanka	Rupee
MNT	₮	Mongolia	Tughrik
MUR	₨	Mauritius	Rupee
NGN	₦	Nigeria	Naira
NOK	kr	Norway	Krone
NPR	₨	Nepal	Rupee
PHP	₱	Philippines	Peso
PKR	₨	Pakistan	Rupee
PLN	zł	Poland	Zloty
QAR	﷼	Qatar	Riyal
RON	lei	Romania	New Leu
RSD	Дин.	Serbia	Dinar
RUB	₽	Russia	Ruble
SAR	﷼	Saudi Arabia	Riyal
SCR	₨	Seychelles	Rupee
SYP	£	Syria	Pound
THB	฿	Thailand	Baht
TRY	₺	Turkey	Lira
UAH	₴	Ukraine	Hryvnia
USD	$	United States	Dollar
UZS	лв	Uzbekistan	Som
VND	₫	Viet Nam	Dong
YER	﷼	Yemen	Rial
